company_name,address,phone_number,website,email
Kalidoss Home,"YUGA KALPATARU APARTMENT, Padi Kuppam, Koyambedu, Chennai, Tamil Nadu 600107",N/A,N/A,N/A
"Kalpataru, Balasubramanian Home","21/9, Ganesh Nagar, Iyappa Nagar, Keelkattalai, Chennai, Tamil Nadu 600091",N/A,N/A,N/A
Kalpatharu,"81, 2nd Street, Balajinagar, Alwartirunagar, Chennai, Tamil Nadu 600087",N/A,N/A,N/A
P Senthil Kumar,"H Block, YUGA KALPATARU APARTMENT, Pillaiyar Koil St, Padi Kuppam, Koyambedu, Chennai, Tamil Nadu 600107",N/A,N/A,N/A
Kalpataru Working women's Hostel,"3, Main Rd, 1st mandhoppu, Elim Nagar, Perungudi, Chennai, Tamil Nadu 600096",N/A,N/A,N/A
Amman Kalpataru,"X624+V5C, 8th Main Rd, Ram Nagar South Extension, LIC Nagar, Alaiamman Nagar, Madipakkam, Chennai, Tamil Nadu 600100",N/A,N/A,N/A
Deccan Kalpataru,"School, 1st Main Rd, Sholinganallur, Chennai, Tamil Nadu 600119",044 4207 7111,http://www.deccan.co.in/,N/A
KALPATARU NATURALS,"School, 1st Main Rd, Sholinganallur, Chennai, Tamil Nadu 600119",044 4207 7111,http://www.deccan.co.in/,N/A
Kalpataru Royale Apartment,"Royale Lane, 40/1A5A, Vignarajapuram 6th Extension Rd, Santhosapuram, Medavakkam, Chennai, Tamil Nadu 600073",099620 88072,N/A,N/A
Kalpataru Parking Yard,"65F8+FJ7, Cholavaram, Tamil Nadu 600067",094440 99779,http://www.kalpataru.com/,N/A
Kalpatharu Agencies,"65F8+FJ7, Cholavaram, Tamil Nadu 600067",094440 99779,http://www.kalpataru.com/,N/A
Karthik Real Estates,"No.18, Solai St, Palaiyam Nagar, Ayanavaram, Chennai, Tamil Nadu 600023",N/A,N/A,N/A
CHENNAI PROPERTY SERVICE - Channel Partners Of Leading Builders,"3rd floor, No 1, 6th Main Rd, opposite to Ayyappan Temple, Y Block, Anna Nagar, Chennai, Tamil Nadu 600040",096000 51444,N/A,N/A
My Property Boutique Private Limited Real Estate,"S -38 phase, Spencer Plaza Mall, 2, 2nd St, Anna Salai, Royapettah, Chennai, Tamil Nadu 600002",098846 40673,http://www.mypropertyboutique.com/,N/A
Jain Estates,"2 /3, 8th Cross St W, West, Shenoy Nagar, Chennai, Tamil Nadu 600030",N/A,http://www.jainestates.com/,N/A
Evrnest Vista Associate,"Flat No. 3, K V Apartments, 16A, Poes Garden, 2nd floor, Chennai, Tamil Nadu 600086",099520 70767,https://www.evrnest.in/,N/A
CitySide,"No.12A, Karuneegar St, Pallavan Nagar, Nerkundram, Chennai, Tamil Nadu 600107",N/A,https://cityside.in/,N/A
propertykart,"No.50, 117, Medavakkam Tank Rd, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600012",N/A,N/A,N/A
JK Property Management and Realty services,"2/674, Nakkeeran Salai, Dudhiya, J J Nagar, Mogappair East, Chennai, Tamil Nadu 600037",098409 90509,https://jkpropertymanagement.co.in/,N/A
Pincoded Real Estate Services,"511, Shivalaya Building, 171, Ethiraj Salai, above Sangeetha hotel, Egmore, Chennai, Tamil Nadu 600008",098849 97500,http://www.pincoded.com/,N/A
"Elite Realtors - RERA Registered Real Estate Agent in Chennai & Property Consultant in Anna nagar, Chennai","511, Shivalaya Building, 171, Ethiraj Salai, above Sangeetha hotel, Egmore, Chennai, Tamil Nadu 600008",098849 97500,http://www.pincoded.com/,N/A
Nippon India Mutual Fund,"2nd Floor, 52/8, N Boag Rd, Lakshimi Colony, T. Nagar, Chennai, Tamil Nadu 600017",1860 266 0111,https://mf.nipponindiaim.com/,N/A
Wealth India Financial Services Pvt. Ltd (FundsIndia),"3rd Floor, IndiQube Wave, 438/1, Sundaram Ave, T.R, Anna Salai, Thousand Lights, Chennai, Tamil Nadu 600006",044 6110 4100,https://www.fundsindia.com/,N/A
Geojit Financial Services Ltd,"Chintamani, C/60, 1st Ave, C Block, Annanagar East, Chennai, Tamil Nadu 600030",098400 99974,https://branch.geojit.com/geojit-financial-services-ltd-investment-services-anna-nagar-east-chennai-287192/Home?utm_source=locator&utm_medium=googleplaces,N/A
KNV Capital Services Private Limited..,"Chintamani, C/60, 1st Ave, C Block, Annanagar East, Chennai, Tamil Nadu 600030",098400 99974,https://branch.geojit.com/geojit-financial-services-ltd-investment-services-anna-nagar-east-chennai-287192/Home?utm_source=locator&utm_medium=googleplaces,N/A
Rajam Property Management Services Pvt Ltd,"2nd floor, Twin Towers, No. 305E, Alwarpet, Chennai, Tamil Nadu 600004",072999 14181,https://rajamproperty.com/,N/A
Propertism Realty Advisors LLP,"3rd Floor, SSR Pankajam towers, 30, Arunachalam Rd, Saligramam, Chennai, Tamil Nadu 600093",086670 20798,http://www.propertism.com/,N/A
"ASR Associates - Commercial Office Space, Factory, Warehouse, for lease & Re-Sale Properties to buy & Sell in Chennai","3rd Floor, SSR Pankajam towers, 30, Arunachalam Rd, Saligramam, Chennai, Tamil Nadu 600093",086670 20798,http://www.propertism.com/,N/A
Prosperty Real Estate,"Level 1& 2, AP 676, Q Block 15th St, H Block, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040",095000 13446,http://www.prospertyrealestate.com/,N/A
DAKSHIN CAPITAL PRIVATE LIMITED,"Flat FB, First Floor, Abhirami Karpaga Vilas, W 580/6, School Rd, opp. SBOA SCHOOL, D-Sector, Anna Nagar West Extension, Chennai, Tamil Nadu 600101",044 4202 3300,https://www.dakshincapital.com/,N/A
Fortune Investment Services Private Limited,"Shri Mahalakshmi, Ground Floor New No. 6,Third street, Habibullah Rd, near Nadigar Sangam, Chennai, Tamil Nadu 600017",098842 34686,http://www.fortuneinvestment.in/,N/A
Bonte Land Banking Associates,"2nd floor, 2A, Gopathi Narayanaswami Chetty Rd, T. Nagar, Chennai, Tamil Nadu 600017",075581 64624,https://bonte.co.in/,N/A
Evrnest Vista Associate,"2nd floor, 2A, Gopathi Narayanaswami Chetty Rd, T. Nagar, Chennai, Tamil Nadu 600017",075581 64624,https://bonte.co.in/,N/A
CHENNAI PROPERTY SERVICE - Channel Partners Of Leading Builders,"3rd floor, No 1, 6th Main Rd, opposite to Ayyappan Temple, Y Block, Anna Nagar, Chennai, Tamil Nadu 600040",096000 51444,N/A,N/A
5AM BICYCLE STUDIO Premium Bike Shop & Service,"No 8, 10th St, Block M, Annanagar East, Chennai, Tamil Nadu 600102",098419 73240,http://www.5ambicyclestudio.com/,N/A
Jain Estates,"2 /3, 8th Cross St W, West, Shenoy Nagar, Chennai, Tamil Nadu 600030",N/A,http://www.jainestates.com/,N/A
"ASR Associates - Commercial Office Space, Factory, Warehouse, for lease & Re-Sale Properties to buy & Sell in Chennai","57/22, 1st Floor, Kavarai St, West Mambalam, Chennai, Tamil Nadu 600033",095001 79577,http://www.rentorsale.in/,N/A
East India Chambers - Commercial office space for rent,"7, Valluvar Kottam High Rd, Subba Road Avenue, Nungambakkam, Chennai, Tamil Nadu 600034",N/A,N/A,N/A
Commercial Space Mogappair,"2/40, Kalamegam Salai, Mogappair West, Ambattur Industrial Estate, Chennai, Tamil Nadu 600037",N/A,N/A,N/A
